entity	title	definition	example_technologies
TX09.5.2	EDL Navigation Sensors and Algorithms	Navigation sensors, algorithms, and systems enable the onboard determination of precise vehicle state (position, velocity, attitude, etc.) relative to the EDL environment and targeted landing locations. These capabilities include position and velocity sensors, active or passive optical sensors (i.e., sensors that self-illuminate or require external illumination sources), sensor systems that leverage reconnaissance maps and algorithms for map-relative localization, and localization methods not requiring a priori maps.	Advanced navigation sensors for spacecraft velocimetry and altimetry, terrain relative navigation systems
TX09.5.3	EDL Control Systems	Control systems and algorithms are required to effectively steer vehicles to track guided trajectories with minimum propellant, power, and mass requirements, as well as to track hazard-avoidance diverts to safe landing locations.	Control algorithms for commanding RCS thruster magnitude, deflection of aerodynamic surfaces or gimbal angles, CG shifting, etc.
TX09.5.4	EDL Hazard Detection	Hazard detection onboard a vehicle includes sensors and algortihms for real-time imaging of terrain surfaces during EDL to generate high-resolution terrain maps to detect vehicle-relevant surface hazards too small to detect from a priori reconnaissance images, followed by identifying safe landing sites in the boundaries of the generated maps. Onboard mapping sensors can also support map-relative localization methods and improve reconnaissance maps.	Online and/or offline terrain digital elevation map or 3D model generation for onboard hazard detection (HD) and avoidance, synthetic terrain model generation, advanced sensors for terrain imaging and subsurface characterization
TX09.5.5	EDL Surface Maps for Navigation	Map-relative localization methods for precise navigation require topologically consistent reconnaissance maps without seams, discontinuities, and anomalies. These maps also support a priori assessment of large surface hazards, as well as mission planning for targeted landing sites.	Automated systems to convert orbital data to onboard maps
TX09.5.6	Integrated Flight Mechanics Simulation	Flight mechanics is the discipline of simulating and optimizing vehicle performance throughout the EDL sequence and includes integrating component models, sensor models, GNC algorithms, and constraint optimization.	Flight mechanics codes, simulations for GNC and HD validation
TX09.X	Other Entry, Descent, and Landing	This area covers EDL technologies that are not otherwise covered in the subparagraphs outlined in TX09 of the 2024 NASA Technology Taxonomy.	
TX10	Autonomous Systems		
TX10.1	Situational and Self-Awareness Technologies	Situational and self-awareness technologies interrogate, identify, and evaluate both the state of the environment and the state of the system. Examples include artificial neural networks (including deep learning), unsupervised learning, supervised learning, reinforcement learning, feature learning, and support vector machines.	
TX10.1.1	Sensing and Perception for Autonomous Systems	Sensing and perception technologies for autonomous systems collect and process information internal and external to the system from sensors and instruments. Perception can be done at the sensor or at a centralized computer.	Three dimensional (3D) sensing and perception from stereo vision or light detection and ranging (LIDAR), force and tactile sensing, science-instrument sensing (e.g. spectrometers) that is eventually used in decision-making, tools that assess data validity and manage uncertainty, system-health and housekeeping sensors, space-suit sensors that track astronauts' motions; Examples include visual (mono/stereo), ranging (LiDAR/RADAR/IR/SONAR), inertial measuring units, navigation systems (GPS), environmental sensors (temperature/pressure), and audio (microphones).
TX10.1.2	State Estimation and Monitoring	State estimation and monitoring technologies estimate internal and external states from raw or processed inputs generated by multiple sensors/instruments, ascertainment, and continual comparison to expected states.	Pose estimation for a rover, pose estimation for an in-space robotic-assembly arm, velocity estimation for an aerial vehicle, oxygen-level estimation and monitoring, battery health-state estimation, wind-speed estimation for a balloon explorer, tools that assess data validity and manage uncertainty
TX10.1.3	Knowledge and Model Building	Knowledge and model building technologies create information sources about the environment and integrate them into a centralized representation. This representation, created from sensing, perception, and human interaction, can then be queried.	Fusion of multi-sensor data over time to generate physical or dynamical models of the system or environment; topographic mapping of a planetary surface from multiple surface and/or near-surface assets; atmospheric modeling for aerial mobility; ontologies for natural-language processing; ontologies for object manipulation; vehicle habitability status from integrated physics based models of life support, power, thermal, and environmental sensors
TX10.1.4	Hazard Assessment	Hazard assessment technologies evaluate and identify whether the state of the environment, the state of the system, and/or their interaction pose a threat to the safety of actions (or inactions) that are contemplated and that could compromise the system or mission.	Terrain hazard assessment for spacecraft planetary landing, traversability analysis for surface mobility, collision-risk assessment of aerial mobility, safety-assessment for a life-support system
TX10.1.5	Event and Trend Identification	Event and trend identification technologies analyze data about the environment or system to identify events and trends that may affect future states, operations, and decision-making.	Characterization of system performance, prediction of weather events, prediction of air traffic, science data analytics for decision making
TX10.1.6	Anomaly Detection	Anomaly detection technologies determine when the environment or system does not exhibit expected characteristics. These technologies can be used to mitigate issues that could compromise the system.	Detection of abnormal behavior in a component or subsystem, identification of a weather anomaly, identification of excessive rover sinkage in loose sandy terrain
TX10.2	Reasoning and Acting Technologies	Reasoning and acting technologies analyze and evaluate situations (past, present, or future) for decision-making and for directing actions to achieve a goal or a mission.	
TX10.2.1	Mission Planning and Scheduling	Mission planning and scheduling technologies optimize tasks based on the goals, objectives, and activities needed to achieve a mission, subject to the situation and constraints.	Selection of science observations (e.g. for satellites and unmanned aerial vehicle (UAVs)), replanning / rescheduling after unexpected event (e.g. opportunistic science, responding to changing weather conditions), replanning / rescheduling after system fault (e.g. choosing new observation after instrument fails, choosing new objectives after mechanical system fault limits motion, etc.), mixed initiative planning/scheduling of human spacecraft activities, autonomous habitat recovery and survivability planning
TX10.2.2	Activity and Resource Planning and Scheduling	This area involves planning and scheduling capabilities to select and order tasks, activities, and associated resources to be performed while managing system assets and constraints to achieve mission goals.	Power / energy consumption and production planning / scheduling; planning / scheduling given constraints, such as fuel, life support system consumables (air, water), spacecraft memory, communication link (availability, bandwidth, latency), etc.; planning / scheduling given consumables for science ops (e.g. # of sample containers); mixed initiative planning/scheduling of human spacecraft activities; piloted aircraft decision support
TX10.2.3	Path Planning	Path planning technologies generate or modify a path or trajectory to reach a desired target physical location or configuration subject to system and environment constraints.	Robotic arm/manipulator kinematics/dynamic planning, robot surface motion planning, spacecraft attitude / trajectory planning, aircraft path planning
TX10.2.4	Execution and Control	Execution and control technologies process commands to change the system state to meet mission goals and objectives, according to a plan or schedule, subject to control authority and permission and based on mission phase, environment, or system state.	Reactive control (e.g. aircraft see-and-avoid, rover hazard avoidance, fault response), discrete control / scripting / mode control, contingent control (e.g. integration of fault management and planning/scheduling), subsystem procedure and automation control and situational awareness for human operator
TX10.2.5	Fault Diagnosis and Prognosis	Fault diagnosis and prognosis technologies identify current faults, predict future faults, and assess system capability as a consequence of those faults.	UAV / spacecraft battery prognostics, structural health monitoring, spacecraft control moment gyro monitoring, cryogenic storage leak detection (internal/external), aircraft engine health monitoring, dynamic behavior modeling
TX10.2.6	Fault Response	Fault response technologies restore the nominal or best-possible system configuration and operations after a fault, while ensuring safe operations.	Spacecraft fault impacts reasoning, power system reconfiguration, life support system reconfiguration, robot arm reconfiguration, aircraft emergency landing planner
TX10.2.7	Learning and Adaptation	Learning and adapting technologies adapt to changing environments and conditions without explicit reprogramming. These technologies do so by using knowledge collected from the past or from other systems' experiences.	Learning planning/scheduling models, learning fault models, learning anomalies, learning for system degradation, learning models for state estimation and control
TX10.3	Collaboration and Interaction	Collaboration and interaction technologies support two or more elements or systems working together to achieve a defined outcome.	
TX10.3.1	Joint Knowledge and Understanding	Joint knowledge and understanding technologies support collection, assembly, sharing, and interpretation of information and intent among elements in order to solve problems and plan actions/responses.	Management of aircraft and spacecraft fault diagnostic and prognostics, speech recognition interfaces (including non-verbal attributes such as prosody) for aircraft flight management, integration of information across activities and systems
TX10.3.2	Behavior and Intent Prediction	Behavior and intent prediction technologies forecast the actions of other elements or systems to support collaboration and interaction.	Workload estimation across mixed initiative systems, integration of information for prognostic system prediction, response prediction and limitations for alerting and interaction (e.g. aircraft "detect and avoid" alerting), confidence estimation for predictions across activities and elements (e.g. weather events), prediction for precursors for rare events, prediction of human response to critical autonomy functions
TX10.3.3	Goal and Task Negotiation	Goal and task negotiation technologies support agreement on current and future activities, their priorities, and their disposition among elements or systems.	Space mission planning systems; Airline Operations Center (also known as Airline Operations Control Center); context-based function allocation between humans, robotic agents, and habitat
TX10.3.4	Operational Trust Building	Operational trust building technologies ensure that the system is operating in a manner consistent with expectations of all elements.	Aircraft Flight Mode Annunciators (FMA), aircraft navigation performance monitoring, transition of autonomy levels between crewed and uncrewed habitats
TX10.3.5	Human and Machine Interaction and Teaming	This area consists of technologies, modalities, and techniques for intuitive and efficient interaction with embodied and disembodied autonomous systems for supervisory management and teaming.	
TX10.4	Engineering and Integrity	This area covers design considerations, processes, and properties necessary to implement autonomy.	
TX10.4.1	Verification and Validation of Autonomous Systems	Verification and validation (V&V) technologies determine that an autonomous system meets the requirements (verification) and fulfills its intended purpose (validation).	Scalable formal methods for adaptive and uncertain systems (i.e., model checking, theorem proving, static analysis), model validation frameworks, work analysis and operations concepts for autonomous behaviors, uncertainty propagation analysis
TX10.4.2	Testing and Evaluation of Autonomous Systems	Testing and evaluation technologies characterize the functionality and capabilities of an autonomous system.	Automated systems testing, model-based testing and accreditation, statistical edge-case testing approaches, non-destructive testing, testbeds for assessment of autonomous systems in laboratory and operational settings.
TX10.4.3	Operational Assurance of Autonomous Systems	Operational assurance confirms, before or during operations, that an autonomous system is operating safely, efficiently, and in a manner that will not adversely affect the operation of other systems.	Runtime monitoring, certifications for adaptive systems, model invalidation, operational approval method for complex integrated systems, risk management approaches
TX10.4.4	Modeling and Simulation of Autonomous Systems	Modeling and simulation technologies (e.g., digital twins) represent an autonomous system or system-of-systems and/or its operation for use in design, evaluation, and operational assessment.	Monte Carlo techniques, immersive environments, standardized simulation infrastructure and frameworks, model-based systems engineering
TX10.4.5	Architecture and Design of Autonomous Systems	This area covers methods and tools for system composition and development that promote the existence and support the assessment of system attributes, such as performance, resilience, robustness, scalability, safety, and reliability.	Correct-by-design controller synthesis, scalable frameworks, contract-based design, fault-tolerant design, distributed communications infrastructure
TX10.X	Other Autonomous Systems Technologies	This area covers autonomous systems technologies that are not otherwise covered in the subparagraphs outlined in TX10 of the 2024 NASA Technology Taxonomy.	
TX11	Software, Modeling, Simulation, and Information Processing		
TX11.1	Software Development, Engineering, and Integrity	This area covers technologies for the design, development, testing, and verification of software systems.	
TX11.1.1	Tools and Methodologies for Software Design and Development	Tools and methodologies for software design and development provide frameworks, languages, tools, processes, and standards that enable the management of both short- and long-term complexity in the development and testing of flight, ground, and model software.	Software Development Model Based and Auto Code Generation Techniques; Metrics useful for engineering and management for determining software quality, safety, and security; formal methods verification of software requirements and design; compiler directive languages for portable high-performance and hybrid computing; static code analyzers; System Level Modeling
TX11.1.2	V&V of Software systems	This area covers the procedures and testing used to determine that a software system meets the requirements (verification) and fulfills its intended purpose (validation).	Model-based testing, Payloads and Components Real-Time Automated Test System (PACRATS), Code coverage testing techniques, continuous automated software analysis and testing techniques, SysML Model Based Systems Engineering (MBSE)
TX11.1.3	Testing and Evaluation	This area covers the testing environment, simulations, models, and procedures used to evaluate software system functionality and capabilities in software-only and integrated software-hardware testbeds.	Real-time and non-real-time test environments, mechanism models, command and control simulation, non-integrated subsystem testing, extended testability analysis tools, payloads and components
TX11.1.4	Operational Assurance	This area covers the procedures, processes, and standards used to ensure that a software system executes in a manner that will not affect the operation of other systems and that protects safety and efficiency during operations.	Software partitioning technologies, fault tolerance techniques, common mode failure techniques, software fault detection approaches, systems and methods for active diagnosis and self-healing of software systems
TX11.1.5	Architecture and Design of Software systems	This area covers the development of conceptual and behavioral models and the development of system specifications, including resilience and the human roles in a system.	Software development methodologies that emphasize modeling and/or human interaction, human/machine interfaces and interactions, astronaut programming and fault management interfaces
TX11.1.6	Real-Time Software	Real-time software is designed for use onboard spacecraft or aircraft to control or manage the vehicle. For this software, timing is critical, and it is necessary to ensure a level of confidence that a task can be completed or an action will be taken by the specified timing requirements.	Fault detection response; mechanism control, engine/thruster control; science data sampling; image exposure control; guidance, navigation, and control (GN&C)
TX11.1.7	Frameworks, Languages, Tools, and Standards	A common set of frameworks, languages, tools, and standards enable the management of both short- and long-term complexity in sharing, exchanging, and integrating software solutions from diverse sources. These technologies will reduce the costs associated with software development.	Reusable software libraries, common simulation frameworks, common ground system architectures, common communication protocols, common standards for trajectory parameterization/models, common command and data handling architectures
TX11.1.8	Software Analysis and Design Tools	Software analysis and design tools are computer programs that software developers use to create, debug, maintain, or otherwise support other software programs and applications. A collection of software tools provides programming support capabilities throughout the software life cycle.	Software development tools, software test tools, software load testing tools, defect tracking tools, static analysis tools, software configuration management tools, security testing tools, data management tools, compilers, multi-core and distributed processing
TX11.1.9	Software Cyber Security	Software cyber security prevents, detects, and responds to attacks on mission systems by applying secure coding and development practices. Software cyber security requires information technologies to ensure full life cycle information integrity, cybersecurity situational awareness, and software developer security analysis for space, ground, and aeronautical software.	Secure development environments to control authorized access, secure coding practices and tools for mission systems, security verification of externally developed software
TX11.2	Modeling	Modeling technologies support autonomous, integrated, and interoperable modeling capabilities throughout NASA's mission portfolios.	
TX11.2.1	Software Modeling and Model Checking	Software modeling and modeling checking (also known as defect identification and mitigation) technologies use or create models of the software logic and data flows in the larger system context in order to analyze cyber-physical interactions, generate semantically well-formed source code, and generate tests for full code coverage.	Hybrid model checking, automated software testing environment, software development environment with program synthesis
TX11.2.2	Integrated Hardware and Software Modeling	Integrated hardware and software modeling technologies provide the ability to evaluate hardware and software systems early in the design process; expose the complex and unintended interactions between the hardware and software; transform designs into models that can be assessed and analyzed for integrated system performance; ensure verification of interface requirements; and identify possible failure modes early in the design process and continuously use the model throughout the development, testing, and operation of the system.	Hardware/software (HW/SW) interface modeling specification language, intelligent hardware and software interface reasoning framework, automated design specification knowledge capture system, dynamic behavior modeling
TX11.2.3	Human-System Performance Modeling	Human-system performance modeling ensures that new and relevant human-related technologies are infused into all vehicle and habitat designs and associated operational concepts. Digital human models have their greatest impact on mission design if the validated models can be seamlessly integrated in mission models.	Integrated human-systems models, human digital twin, toolset for automated task generation for human-system modeling, augmented reality and virtual reality (AR/VR)
TX11.2.4	Science Modeling	Science modeling uses mathematical or heuristical models to quantify the physical processes as a function of underlying variables.	Fortran compatible and interoperable parallel libraries, high performance processor toolset for science modeling, quality metrics for science data, toolset for concurrent data diagnostics and acquisition for science modeling, software infrastructure for sensor webs, planetary contaminant modeling
TX11.3	Simulation	Simulation technologies provide engineering data and insight into the level of risk across the entire life cycle of NASA's distributed, heterogeneous, and long-lived mission systems.	
TX11.3.1	Distributed Simulation	Distributed simulation provides the ability to model the sequential time- and state-based behavior of a defined system across a geographically distributed and network-connected collection of heterogeneous computer systems.	Immersive environments for distributed simulation of NASA systems, high-speed computer networks, standardized NASA simulation interoperability infrastructure, standardized NASA simulation data exchange standard, cross-domain simulation toolset and integration framework
TX11.3.2	Integrated System Life Cycle Simulation	Integrated system life cycle simulation enables the interfaces; algorithms; and collaborative, networked platforms necessary to develop large, complex, multidecadal systems of systems.	Model and simulation interface specifications, federated simulations, enterprise-level modeling and simulation repositories, digital thread, SysML MBSE tool / data base driven digital platform technology
TX11.3.3	Model-Based Systems Engineering	Model-based systems engineering (MBSE) employs computational modeling and simulation methods to aid in designing, developing, certifying, and sustaining complex aerospace vehicles and systems throughout their life cycles. These technologies support critical decision-making by mitigating the effects of variability and uncertainty for missions and mission environments in which testing and measurement systems alone are insufficient or cost-prohibitive.	Multi-Domain Modeling (MDM) Frameworks, High-Performance Simulations (HPS), Adaptive Model Updating (ADU) Toolset, Advanced Diagnostics and Prognostics (ADP) Toolset, Robust Decision-Making (RDM) Framework, onboard predictive physics-based vehicle simulation, digital twin
TX11.3.4	Simulation-Based Training and Decision Support Systems	Simulation-based training and decision support systems provide new approaches for developing the human-in-the-loop full-mission testing and training simulations that are needed to reduce time and costs and ensure mission success and safety.	Onboard simulation-based trainers, integrated mission human-in-the-loop simulation system, digital-human-in-the-loop simulation system
TX11.3.5	Exascale Simulation	Physics-based exascale environments are needed to support the emerging requirements of multifaceted mathematics in complex systems, such as algorithms and analysis of methodologies for multiscale and multiphysics simulations. These environments extend simulation performance and capability, the ability to seamlessly generate representative meshes, and the ability to numerically validate exascale data from various sources in near-real time.	Extreme-scale software for modeling and simulation, extreme-scale geometry and grid generation environments, extreme-scale numerical validation environment
TX11.3.6	Uncertainty Quantification and Nondeterministic Simulation Methods	Uncertainty quantification and nondeterministic simulation methods identify, classify, model, and propagate all forms of uncertainty present in a system to enable understanding and management of their impact on system performance, resources, robustness, reliability, and safety.	Robust System Uncertainty Modeling Toolset, Probabilistic Risk Assessment (PRA) Toolset, Discrete Event Simulation (DES), Aleatory and Epistemic Uncertainty Assessment Toolset, Toolset for Global Sensitivity Analysis of Uncertain Systems, Software Toolset for Robust Design in the Presence of Uncertainty, Surrogate Models for Uncertainty Quantification, six sigma analysis and optimization, first and second order reliability methods, importance sampling, mean value methods, Monte Carlo Sobol and descriptive sampling
TX11.3.7	Multiscale, Multiphysics, and Multifidelity Simulation	Multiscale, multiphysics, and multifidelity simulation develops methods needed to represent physical processes at operative length and time scales and unify best-physics representations across multiple disciplines.	Sequential Multiscale Analysis Toolset, Concurrent Multiscale Analysis Toolset, Energetic Extreme Flux Analysis Toolset, Chemically Extreme Environment Analysis Toolset, Thermomechanically Extreme Environment Analysis Toolset, Electro-Magnetic Extreme Analysis Toolset, Lattice-Boltzmann computational fluid dynamics (CFD), Coupled Eulerian Lagrangian Method, Smooth Particle Hydrodynamics, Discrete Element Method, Parametric and Topological Optimization, low to high frequency electromagnetic simulation, high accuracy acoustic modeling, Dynamic Behavior modeling / Multiscale Simulation tool
TX11.4	Information Processing and Artificial Intelligence	This area covers technologies for triaging data with intelligent onboard algorithms and thoroughly analyzing the data using ground-based systems (including artificial intelligence). These technologies include data life cycles, intelligent data understanding, semantic technologies, collaborative science and engineering, cyber infrastructure and security, digital assistant, and edge computing.	
TX11.4.1	Science, Engineering, and Mission Data Life Cycle	Science, engineering, and mission data life cycle technologies support the increasingly data-intensive nature of NASA science and exploration missions, including the need to consider the data life cycle from the point of collection to the application and use of the data.	Reference information system architecture frameworks, distributed information architecture frameworks, information modeling frameworks, onboard data capture and triage methodologies, real-time data triage and data reduction methodologies, scalable data processing frameworks, massive engineering and science data analysis methodologies, remote data access framework, massive data movement services, large-scale data dissemination environments, toolset for massive model data
TX11.4.2	Intelligent Data Understanding	Intelligent data understanding technologies provide the ability to automatically mine and analyze datasets that are large, noisy, and of varying modalities, including discrete, continuous, text, and graphics, and extract or discover information that can be used for further analysis or decision making.	Intelligent data collection and prioritization toolset, event detection and intelligent action toolset, data on demand toolset, intelligent data search and mining toolset, data fusion toolset, information representation standards for persistent data, artificial intelligence (AI), robot-automated cross-program standardization
TX11.4.3	Semantic Technologies	This area covers technologies that use natural language processing to combine disparate data sets and mine large data sets for new insights. These technologies ingest textual (and mixed text, numeric, graphical) documentation, metadata, and data to automate data assimilation, data mining, and data characterization tasks.	Semantic Enabler for Data (Text, Binary, and Databases), Ultra Large-Scale Visualization and Incremental Toolset, Semantic Bridge Framework, Analysis of Competing Hypotheses (ACH) Framework, Shape similarity search, three Dimensional (3D) shape and semantic comparison
TX11.4.4	Collaborative Science and Engineering	Collaborative science and engineering technologies allow distributed teams with disparate expertise and resources, including those of partner agencies and contractors, to work in a unified manner.	Immersive Data Explorer, Distributed Collaborative Engineering Frameworks, Distributed Collaborative Science Data Analysis Frameworks
TX11.4.5	Cyber Infrastructure	Cyber infrastructure includes storage, computation, network communications, data management services (including data archiving), distributed computing, and crosscutting software services.	On-demand, multi-mission data storage and computation; scalable data management frameworks; scalable data archives systems; high performance networking; block chain
TX11.4.6	Cyber Security	Cyber security involves protecting information systems and data from attack, damage, or unauthorized access and requires technologies to ensure full life cycle information integrity and cyber security situational awareness and analysis.	Cyber security and information assurance framework, cyber security situational assessment environment, user/asset geographic tracking system, anomaly detection system, secure cloud bursting infrastructure, cyber security situational assessment of environment for mission operations, security analysis and verification tools, techniques for verifying security requirements
TX11.4.7	Digital Assistant	A digital assistant is a set of artificial intelligence applications with a natural language interface that perform information processing or low-level cognitive tasks on behalf of the user.	Pilot or astronaut advisor (e.g. CIMON)
TX11.4.8	Edge Computing	Edge computing is a combination of hardware and software technologies that enable information processing where the information is acquired.	In-situ data analysis, in-situ data triage, autonomous sensor targeting, autonomous event detection
TX11.5	Mission Architecture, Systems Analysis, and Concept Development	This area covers technologies that support the definition of mission architectures and perform systems analysis and vehicle or concept development activities.	
TX11.5.1	Tools and Methodologies for Defining Mission Architectures and Mission Design	This area covers high-level and generic tools, methodologies, and practices used to support the definition of mission architecture concepts, mission designs, and architecture strategies.	Mission planner/monitor, adaptive systems framework, multi-agent master framework, non-smooth optimization methods, operational research, combinatorial optimization
TX11.5.2	Tools and Methodologies for Performing Systems Analysis	This area covers technologies that enable systems analyses that yield meaningful insights into novel, complex, and highly coupled systems ranging from rapid turnaround impact assessments to variable order and fidelity models and nondeterministic methods.	Trade space analysis tools, design and data visualization, automated system-level performance evaluation and characterization tool, dynamic behavior modeling / SysML MBSE tool, coupled trajectory/spacecraft/system design
TX11.5.3	Tools and Methodologies for Vehicle and Concept Definition Activities	This area covers tools and methodologies for conceptual-level exploration of vehicle systems, including vehicle definition studies.	High fidelity vehicle simulator
TX11.6	Ground Computing	This area covers advanced computing and data storage technologies for big data analysis and high-fidelity physics-based simulations for Earth and space science. This area also covers aerospace research and engineering.	
TX11.6.1	Exascale Supercomputers	Exascale supercomputers provide peak computational capability of ≥1 exaFLOPS,1018 floating point operations per second for exascale performance of NASA computations, with excellent energy efficiency and reliability, to support NASA's exponentially growing high-end computational needs.	Commercial sector supplied supercomputer at another government agency sustained 14.4 petaFLOPS (PFLOPS = 10^15 floating point operations per second) on a fluid dynamics simulation
TX11.6.2	Automated Exascale Software Development Toolset	The Automated Exascale Software Development Toolset provides automated exascale application performance monitoring, analysis, tuning, and scaling.	Auto parallelizing compiler for shared-memory computers
TX11.6.3	Exascale Supercomputer File System	The Exascale Supercomputer File System provides online data storage capacity of ≥1 exabyte, enabling data storage for exascale modeling and simulation (M&S) and data analysis. The system has sufficient performance and reliability to maintain productivity for a broad array of NASA applications.	20 petabyte parallel distributed file system for the Pleiades supercomputer
TX11.6.4	Quantum Computer	Quantum computers use quantum effects, such as superposition and entanglement, to solve certain computational problems, such as optimization and pattern recognition, for which an exhaustive search of all possibilities or computations by a conventional computer would be infeasible.	7-qubit quantum computer
TX11.6.5	Public Cloud Supercomputers	Public cloud supercomputers provide additional resources for NASA supercomputer users, including for mission-critical computing in an emergency.	Huge public clouds exist, such as those operated by the commercial sector, which can do computing on demand
TX11.6.6	Cognitive Computers	Cognitive computers provide efficient, adaptable, brain-like computing, using synthetic neurons and synapses. These computers are programmed by learning from instances to sense, predict, and reason.	Brain-inspired chip architecture based on a scalable, interconnected, configurable network of "neurosynaptic cores"
TX11.6.7	High-Performance Data Analytics Platform	High-performance data analytics platforms provide a computing and storage environment that is optimized for high-performance data analytics. These platforms support interactive exploration and analysis with petabyte-scale observational and computed data sets.	Data is downloaded from various sources to the local computer, where commercial and custom software perform interactive data analysis
TX11.6.8	Cloud Computing	Cloud computing is a model for enabling ubiquitous, convenient, on-demand network access to a shared pool of configurable computing resources (e.g., networks, servers, storage, applications, services) that can be rapidly provisioned and released with minimal management effort or service provider interaction.	Cloud-based data archive centers for science data
TX11.X	Other Software, Modeling, Simulation, and Information Processing	This area covers software, modeling, simulation, and information processing technologies that are not otherwise covered in the subparagraphs outlined in TX11 of the 2024 NASA Technology Taxonomy.	
TX12	Materials, Structures, Mechanical Systems, and Manufacturing		
TX12.1	Materials	This area covers synthesized and tailored materials that have multiple functions to meet specific mission needs.	
TX12.1.1	Lightweight Structural Materials	Lightweight structural materials reduce the mass and increase the efficiency of structures and structure components, including advanced metallics, nanomaterials, polymers, matrix composites, multifunctional materials, damage-detecting and damage-tolerant materials, and self-repairing and self-healing materials.	Nanofibers, fibers, resins and adhesives that enable the tailoring of large monolithic structures; materials that perform multiple functions, materials that include mechanisms for fast, in-situ repairs; topology optimized structures; architectured foams; novel low density metal; composite alloys
TX12.1.2	Computational Materials	Computational materials predict life, tailor or improve properties, and guide experimental validation.	Multiscale modeling, linking atomistic to continuum scale for life prediction modelling and tailoring of structural, thermal, functional materials; characterization techniques to validate the models; integrated computational materials engineering (ICME), a product design technique; the Materials Genome Initiative (MGI) which includes the infrastructure (e.g. materials databases) to discover, manufacture, and deploy advanced materials
TX12.1.3	Flexible Material Systems	Flexible material systems are textiles and other materials that can be easily bent without breaking, such as materials for soft robotics, flexible sensors and electronics, and flexible structural materials. Flexible material systems also encompass metal structures that use interconnected rigid connections and compliant metal structures that can deform through elastic deformation.	Applications to habitats and deployable structures, balloons, parachutes, space suits, metalized films and solar sails, tethers, multifunctional materials that include materials that enable the morphing or deployment of aerospace structures, compliant mechanisms based on elastic deformation of thin sections, flexible metal cloth created through additive manufacturing, biobarrier fabrics for planetary protection
TX12.1.4	Materials for Extreme Environments	Materials for extreme environments protect against harsh environments and operating conditions. These hot structures are designed to deliver component capabilities that sustain loads and pressures, provide stiffness and stability, or provide support or containment in operating conditions typically thousands of degrees above room temperature.	Materials used for radiation environments, heat shields, cryo-insulators, high-temperature materials including nanomaterials, metallic, ceramic matrix composites, ultrahigh temperature ceramics, advanced alloys, insulators, materials that resist abrasive wear, materials with high wear resistance in vacuum, controllable Composite Technology for Exploration (CTE) materials, and materials for ultra-low temperatures including amorphous metals
TX12.1.5	Coatings	Coatings are materials, nanomaterials, and amorphous materials that provide thin, lightweight barrier protection from environmental hazards, including light, dust, fouling, temperature, harsh gases, chemical attack icing, putative microbial life forms, and atomic oxygen.	Includes films, optical blacks, nanofibers, nanocomposites, thermal barrier coatings, environmental coatings
TX12.1.6	Materials for Electrical Power Generation, Energy Storage, Power Distribution, and Electrical Machines	This area covers materials for energy generation, harvesting, storage, and distribution, with application to fuel cells, batteries, capacitors, energy harvesting devices, motors and generators, and thermal management of power electronics.	Solid oxide, advanced anodes, advanced cathodes, polymer electrolyte membranes, graphene sheets, piezoelectric and thermoelectric materials, phase change materials, magnetostrictive materials, high strength magnetic materials, superconducting materials, amorphous and nanocrystalline coatings, diamond-like coatings, thermally sprayed materials, cold sprayed materials, hydrophobic and hydrophilic surfaces, nano-patterned surfaces, coatings that provide sensing
TX12.1.7	Special Materials	This area covers materials with specialized functions.	Adhesive materials concepts, nanofiltering and fluid barrier materials, porous/non-porous materials, optically transparent window materials, materials with negative refractive index, aerogels, metamaterials, topological materials, functionally graded materials, metallic glasses, nanocrystalline metals, materials with controllable CTE, multifunctional laminates, shape memory alloys, high entropy alloys, multi-functional materials
TX12.1.8	Smart Materials	Smart materials enable actuation of systems, such as morphing wings, thermal and mechanical actuators, and superelasticity.	Shape memory alloys, piezoelectrics
TX12.2	Structures	This area covers lightweight, robust, multifunctional, smart structures that are reliable and predictable.	
TX12.2.1	Lightweight Concepts	Lightweight concepts are efficient structures and structural systems that use new innovative approaches to develop beyond-state-of-the-art mass reductions to achieve affordable, high-performance, reliable, and environmentally responsible aerospace applications.	Components for space vehicles and surface habitats, in-space depots and landers, solar or antenna arrays, complex precision deployables, propulsion systems, and terrestrial airframes and engines which function either as primary load bearing or as secondary structures. The technologies used for these components may include either rigid construction (e.g., shell or truss structures) or expandable configurations (e.g., inflatable structures) having efficient structural geometries (e.g., hat-stiffened shells) constructed from advanced materials (e.g., polymer matrix composites) using advanced fabrication methods (e.g., additive manufacturing)
TX12.2.2	Design and Certification Methods	Design and certification methods balance a mixture of high-fidelity analytical, deterministic, and probabilistic tools; failure prediction capabilities; and tool validation with test data to create a model-based design, development, test, and evaluation process that provides for virtual digital certification.	High-fidelity, integrated, verified tools and processes for analysis, design, manufacturing, certification and sustainment of structures under all loading and environmental conditions; improved methods for allowable predictions and models for predictive failure (especially composites)
TX12.2.3	Reliability and Sustainment	Reliability and sustainment aims to develop and include statistically based designs, tools, and methods for dependably determining the incorporation of structural reliability into the overall flight vehicle reliability concomitant with the needed autonomy for complex missions.	Predictive damage/life extension prediction methods, structural/thermal health monitoring, virtual digital fleet leader/digital twin sustainment
